Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
110001,0.8304431,9.790004e-05,1.329232,-1.4972702,127.217662693703,0.0601166644514768,127.21766143026825,132.78082191780823,256.18372,0.13929535,0.021980815,0.009883568
120001,0.81461114,9.770004e-05,2.0500615,-1.2439864,155.00936910999354,0.05718936411570063,155.0093696934741,141.6865671641791,230.95634,0.14289522,0.019074365,0.010826324
130001,0.77598697,9.750004e-05,3.2052808,-0.8444405,168.74295727231285,0.03822961021708607,168.74295703242674,143.72727272727272,224.07097,0.1426573,0.012886768,0.00515814
140001,0.7130465,9.7300035e-05,3.6315062,-0.42383897,181.5301053840667,0.03523487012807891,181.53010579152033,149.828125,220.13705,0.1446809,0.011207195,0.0029628207
150001,0.6251065,9.710003e-05,4.6023707,-0.26045656,216.81786008350184,0.03164907920529272,216.81786156396885,159.1639344262295,229.88846,0.1378229,0.009531013,0.0034542368
160000,0.62190205,9.690005e-05,5.6010337,-0.05788135,202.1765452354185,0.02593946559617536,202.17654453338153,152.32258064516128,218.58823,0.14423922,0.008577043,0.0014117432
170000,0.767556,9.670006e-05,2.5820773,0.09172953,200.6388980721434,0.06570666617699317,200.63890058842176,201.72916666666666,208.89034,0.13500324,0.016004302,0.008600654
180000,0.7961605,9.650006e-05,0.955626,-0.0059340815,258.1484038088773,0.07817280543118564,258.14840187756596,252.9189189189189,245.65242,0.13675614,0.01725304,0.008353429
190000,0.759779,9.630006e-05,-0.29236087,-0.05738791,284.96364658077556,0.1049948517142588,284.9636432336022,263.52777777777777,251.46184,0.13635775,0.014817025,0.0061994763
200000,0.7198709,9.6100055e-05,-4.0107584,-0.26328006,339.7219311613025,0.1802434067569927,339.72193163317263,300.09090909090907,338.5354,0.14023517,0.028000006,0.01838251
210001,0.75592273,9.5900046e-05,-1.6641457,-0.25230536,276.7312780380249,0.11045936927465456,276.73127987618955,279.4,300.50485,0.147198,0.018523084,0.01148188
220001,0.7764637,9.570004e-05,4.3107824,-0.18894309,303.10854899221,0.08404071988641387,303.1085472131769,267.94444444444446,229.16594,0.14314005,0.015387853,0.0070175743
230000,0.76288015,9.550005e-05,5.1377125,-0.1942517,339.95439477400345,0.07061631602647883,339.9543929411606,288.93939393939394,227.18384,0.13707587,0.012104021,0.008849995
240000,0.75227386,9.530006e-05,5.563707,-0.23736922,329.97397442074384,0.07401659001377137,329.9739756071392,284.29411764705884,227.12424,0.14310536,0.011661589,0.0056337924
250001,0.7427677,9.5100055e-05,4.206315,-0.34610298,359.06724559143186,0.08866100788600306,359.0672419585753,306.375,250.37677,0.1385856,0.013003837,0.0057406793
260000,0.75454277,9.490005e-05,5.910518,-0.47681952,401.894929877917,0.09260363122254299,401.8949311668674,315.4,271.26465,0.14141127,0.012773434,0.008957825
270000,0.759931,9.470006e-05,7.8537483,-0.43997392,370.7796030676726,0.07463430449945119,370.77959996123207,300.09090909090907,243.87444,0.14760576,0.012874812,0.0068451376
280001,0.7449669,9.450005e-05,6.437672,-0.56429964,366.52318836796667,0.10099837850148399,366.52318863090005,319.0967741935484,254.94968,0.13570017,0.012486158,0.009031974
290000,0.7783375,9.4300056e-05,9.869864,-0.6256519,358.8667818615514,0.06396497099194676,358.86678088480426,311.6774193548387,230.55724,0.1349796,0.012091745,0.0037621623
300000,0.78633523,9.410006e-05,11.401237,-0.611322,396.23152500763535,0.09608781610768347,396.2315240362659,308.0625,228.23946,0.1471192,0.0106062945,0.005635397
310000,0.78773254,9.390006e-05,11.791225,-0.6878523,438.23907247185707,0.06428663537579789,438.2390703753169,336.25,269.18106,0.13678537,0.011201223,0.005182379
320000,0.756687,9.3700066e-05,10.119154,-0.73749715,463.74944669008255,0.08418835283789251,463.7494465628905,351.17857142857144,294.77505,0.1395874,0.013029481,0.009734784
330001,0.76028204,9.350006e-05,13.053551,-0.7667068,461.43838521286295,0.07059246142011101,461.4383836827344,355.51851851851853,251.56192,0.1379856,0.008684841,0.0043389285
340001,0.7805701,9.330004e-05,15.735644,-0.6941899,481.3897134917123,0.05458054238780668,481.3897136577538,349.82142857142856,241.02914,0.1418198,0.0070076073,0.0022518719
350000,0.80458164,9.310006e-05,20.704367,-0.6784777,451.13972916274236,0.0632371282785055,451.1397294869711,334.7586206896552,212.43254,0.14736155,0.008122724,0.005625695
360001,0.80891174,9.290005e-05,20.622856,-0.5705385,450.2134900750785,0.06850144884785926,450.21349064800245,337.7586206896552,216.81352,0.14181064,0.00931222,0.007853123
370001,0.79138,9.2700044e-05,21.736063,-0.46061462,471.34139358997345,0.06699567630581943,471.34139269744526,330.7931034482759,213.0059,0.13864794,0.009244772,0.010835306
380001,0.8152083,9.250004e-05,24.319578,-0.35267115,499.2150081026143,0.05229729722988599,499.2150083520803,333.62068965517244,206.54593,0.13628677,0.0089120595,0.007981798
390001,0.75730413,9.230004e-05,24.985666,-0.30862388,449.17603760560354,0.06634964194575635,449.17603786786395,331.8333333333333,187.20357,0.13554497,0.010825434,0.00492535
400001,0.71888816,9.210004e-05,27.063408,-0.4589874,432.1472799905709,0.05281575734365366,432.14727855260884,347.07142857142856,189.64465,0.14262712,0.006583646,0.005095886
