Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
96000,1.327125,0.00018540066,5.812006,-1.2039529,5.887079,0.25196493,0.25507686,0.07000021,0.88822937,89.5,1.8015911118127406,89.5,230.0
97000,1.3267577,0.00018420066,5.5638356,-1.3473835,5.015277,0.2691761,0.2359415,0.057830308,0.88965756,64.0,1.393605391960591,64.0,230.0
98000,1.3285875,0.00018300065,5.1723585,-1.4264591,5.1424384,0.25291887,0.23496835,0.05695767,0.8925488,64.0,1.3526932415552437,64.0,230.0
99000,1.3338456,0.00018180066,5.189758,-1.2624123,4.331772,0.24133013,0.24887106,0.07141567,0.89334464,72.5,1.8479108987376094,72.5,230.0
100000,1.3339763,0.00018060066,5.3652005,-1.4233065,4.708685,0.24257693,0.23047751,0.059022836,0.8926982,64.0,1.4001031843945384,64.0,230.0
101000,1.3337379,0.00017940065,4.997387,-1.3120556,3.710033,0.23283538,0.26151657,0.0776955,0.89075565,64.0,2.032259816303849,64.0,230.0
102000,1.33228,0.00017820066,4.8097444,-1.2934897,3.9692557,0.22929913,0.2467792,0.073689595,0.8955253,72.5,1.8773241923190653,72.5,230.0
103000,1.330373,0.00017700066,4.5503945,-1.43104,7.531392,0.23414993,0.21958515,0.05299171,0.8982146,81.0,1.277473787078634,81.0,230.0
104000,1.3325635,0.00017580067,4.7450585,-1.3931851,6.687071,0.239303,0.22525167,0.054782085,0.8969778,89.5,1.2759464299306273,89.5,230.0
105000,1.3352373,0.00017460066,4.7703743,-1.3508768,3.1348581,0.25066072,0.22591195,0.0571273,0.89437485,64.0,1.3455362585373223,64.0,230.0
106000,1.3381733,0.00017340065,5.019807,-1.3286622,6.0052447,0.24620189,0.22221828,0.060901403,0.9003148,81.0,1.4305859431624413,81.0,230.0
107000,1.3393981,0.00017220067,5.1960583,-1.0630808,7.1496,0.24490646,0.2617951,0.08617142,0.89643633,89.5,2.3959241276606917,89.5,230.0
108000,1.3405701,0.00017100066,5.074933,-0.6956218,7.8308616,0.23712303,0.25846675,0.08300034,0.8942208,98.0,2.0467044431716204,98.0,230.0
109000,1.3443676,0.00016980067,5.1649246,-0.8916007,6.9145174,0.25304168,0.23574594,0.067245364,0.8973007,81.0,1.7161164139397442,81.0,230.0
110000,1.3440505,0.00016860066,5.6201067,-0.88678336,5.659669,0.23917016,0.23843892,0.06825444,0.89788663,89.5,1.680604046676308,89.5,230.0
111000,1.3420478,0.00016740066,5.6354136,-1.0033677,4.5905285,0.23786327,0.21959752,0.055927448,0.89790064,72.5,1.3422093470580876,72.5,230.0
112000,1.3404645,0.00016620067,5.55952,-1.0401897,4.151219,0.24552794,0.21677753,0.052865863,0.90183693,64.0,1.2483564959838986,64.0,230.0
113000,1.3407068,0.00016500066,5.357896,-1.0007359,3.2683983,0.23357111,0.2106601,0.05293137,0.90107906,64.0,1.229947129264474,64.0,230.0
114000,1.3383336,0.00016380065,5.104955,-0.88194185,7.0873547,0.24034646,0.24146038,0.07172938,0.89392567,81.0,1.8429114893078804,81.0,230.0
115000,1.3369465,0.00016260067,5.2753506,-0.6410652,3.159613,0.25994122,0.22731283,0.06394608,0.8994577,72.5,1.5757822338491678,72.5,230.0
116000,1.3360149,0.00016140068,4.8777184,-0.8114116,2.3366268,0.2615009,0.2166112,0.05678601,0.9019588,64.0,1.36278264131397,64.0,230.0
