Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
850004,0.53228605,9.662e-05,97.53076,None,None,None,44.19793,0.5566241
860000,0.5032348,9.6580006e-05,93.14204,5714.727009892464,5714.726999849081,8744.0,63.733925,0.572051
870002,0.502826,9.654001e-05,93.41912,5722.238313853741,5722.238284520805,8712.0,57.181526,0.6437982
880003,0.57274354,9.65e-05,88.593544,4244.999771138032,4244.999747015536,7076.333333333333,73.97065,0.6551602
890000,0.5055815,9.646001e-05,88.30635,2398.706015360355,2398.70599834919,4396.8,53.442177,0.6038114
900004,0.51987284,9.642001e-05,101.11103,None,None,None,48.633644,0.6288986
910000,0.4844685,9.6380005e-05,88.80065,2182.835488075018,2182.835489833355,3345.2,78.22276,0.6378004
920003,0.5005322,9.634001e-05,91.83993,304.61029171943665,304.61028902977705,1173.0,61.49455,0.55107003
930001,0.5305534,9.630001e-05,97.285034,700.8309758901596,700.8309600763023,3346.0,48.78298,0.6407909
940001,0.5546776,9.626001e-05,104.914345,1152.8834221363068,1152.8834056779742,2264.0,56.71693,0.57870597
950003,0.57309496,9.6220014e-05,102.803085,4613.295718669891,4613.2957263588905,8966.0,55.51246,0.63588727
960001,0.617816,9.618e-05,98.91723,5768.143494993448,5768.143471367657,8822.5,62.871048,0.6301228
970000,0.60155046,9.6140015e-05,100.93908,5702.7331628501415,5702.733113761991,8954.0,53.245167,0.62720186
980003,0.5803349,9.610002e-05,112.295685,None,None,None,38.668358,0.5758828
990002,0.5790432,9.606001e-05,112.283516,5768.572718203068,5768.572719298303,8793.0,51.31203,0.6209701
1000002,0.56484646,9.602001e-05,112.93706,5694.223402440548,5694.223372094333,8777.0,48.61741,0.6578469
1010004,0.49464926,9.598001e-05,113.612434,None,None,None,34.45044,0.60220456
1020002,0.5557891,9.594e-05,99.82428,6889.643822113673,6889.643804314236,8908.333333333334,55.89258,0.57480955
1030000,0.47549075,9.590001e-05,110.51683,None,None,None,40.987885,0.58327395
1040004,0.55203915,9.586001e-05,103.54647,5685.825955182314,5685.82592090033,8954.0,70.33264,0.6214777
1050002,0.5472353,9.5819996e-05,109.25288,6525.205247163773,6525.205239310861,8982.0,57.91336,0.5914107
1060002,0.5724878,9.578001e-05,111.1988,6084.798137247562,6084.798161383718,9154.0,41.397266,0.5760371
1070000,0.51145285,9.574001e-05,114.12805,5110.407862007618,5110.4078505933285,8942.0,41.323387,0.5842806
1080002,0.52202034,9.5700016e-05,104.334206,3687.3167084654174,3687.3166926788786,5509.666666666667,71.74385,0.5313984
1090002,0.536008,9.566001e-05,111.28685,4178.151454349359,4178.151457053919,6160.333333333333,75.49396,0.6079547
1100003,0.47472826,9.562001e-05,117.63475,None,None,None,34.82954,0.5203886
1110000,0.4970058,9.558001e-05,119.27413,1520.7412658929825,1520.7412815392017,2519.0,49.932796,0.5025245
1120000,0.46542758,9.554002e-05,104.415115,2245.104413976272,2245.1044109240174,3404.0,85.97876,0.54474807
1130004,0.61833584,9.5500014e-05,106.89686,6634.426643868287,6634.426642668744,9126.666666666666,68.331085,0.5960808
1140000,0.5664839,9.5460004e-05,127.82201,None,None,None,37.17638,0.58631
1150002,0.5504933,9.542001e-05,127.382614,None,None,None,35.66442,0.5755846
1160004,0.48714164,9.5380004e-05,125.33598,None,None,None,33.00761,0.52261883
1170000,0.5953268,9.534001e-05,113.182915,6398.004136905074,6398.004164300859,8966.0,90.9568,0.5552293
1180001,0.62981,9.530001e-05,113.23892,6854.803619623184,6854.803569761415,9245.0,46.426247,0.65019435
1190003,0.5228878,9.526001e-05,126.47729,None,None,None,36.620956,0.54261196
1200004,0.5960524,9.522e-05,130.12553,None,None,None,36.754684,0.53426844
1210003,0.6266006,9.518e-05,112.17825,6775.036599054933,6775.036596342921,9269.333333333334,69.68431,0.5766988
1220001,0.6013245,9.514001e-05,120.24283,6524.4411017000675,6524.4411054216325,9155.0,44.05199,0.6376511
1230004,0.57493776,9.5100004e-05,131.61946,7222.762499809265,7222.762510843575,8982.0,37.541855,0.5712883
1240001,0.50714177,9.506001e-05,132.32024,1389.4842739105225,1389.4842982515693,2149.0,27.657158,0.5847122
1250003,0.55027074,9.5020005e-05,137.48994,None,None,None,41.539455,0.5668535
1260001,0.58387214,9.498001e-05,126.1565,6208.769835233688,6208.769804798067,9007.0,40.917686,0.5723382
1270002,0.5652738,9.494001e-05,131.24841,7437.732081532478,7437.732048418373,9252.5,34.297825,0.6715578
1280000,0.53570616,9.490002e-05,139.84552,None,None,None,30.79719,0.580885
1290001,0.5653089,9.486002e-05,137.79684,7039.692922085524,7039.692955091596,9065.0,31.30131,0.60168225
1300002,0.67960536,9.482002e-05,122.02785,7066.705638885498,7066.705656811595,9294.333333333334,44.272884,0.60406935
1310001,0.6088115,9.4780014e-05,137.35297,6497.5356286764145,6497.535664483905,9426.0,31.05656,0.6062017
1320004,0.5864542,9.4740004e-05,139.89801,7053.680893421173,7053.680870220065,9253.0,42.40788,0.60457826
1330001,0.47251016,9.470001e-05,138.58382,3481.0278276205063,3481.0277949869633,5126.0,59.75302,0.58269227
1340000,0.50897914,9.466001e-05,143.84894,None,None,None,34.566174,0.6076615
1350000,0.5525257,9.4620016e-05,131.60738,7411.89470076561,7411.8947269022465,9196.0,38.84462,0.57673806
1360004,0.55583245,9.458001e-05,140.986,6470.243276357651,6470.24325054884,9384.0,32.461483,0.58530843
1370001,0.56112117,9.454001e-05,146.1242,7091.635854721069,7091.635835766792,9377.0,33.149746,0.6093377
1380002,0.55739576,9.450001e-05,136.29706,None,None,None,48.034767,0.5748267
1390002,0.7115885,9.446001e-05,108.170265,7327.583733717601,7327.583738771577,9649.666666666666,37.4116,0.60078055
1400002,0.6000747,9.442001e-05,132.49065,7377.509477555752,7377.509477511048,9807.0,44.605507,0.62131464
1410004,0.58286273,9.4380004e-05,142.9475,None,None,None,31.064991,0.5594555
1420000,0.56855226,9.434001e-05,151.35222,7800.728515625,7800.7285062000155,9844.0,54.516518,0.5506898
1430004,0.5918515,9.430001e-05,159.11234,None,None,None,21.422144,0.5705636
1440003,0.6163777,9.426e-05,149.90564,7971.480860114098,7971.480842769146,9483.0,43.271828,0.5527319
1450002,0.62219375,9.422001e-05,126.29356,8442.962170407176,8442.96219027415,9839.5,31.693491,0.5740719
1460004,0.50279593,9.418e-05,141.41965,1207.7053499221802,1207.7053274810314,2411.0,109.77586,0.55657977
1470003,0.5627588,9.414001e-05,145.1714,8459.140234038234,8459.140213757753,9844.0,53.1735,0.5654866
1480001,0.6025184,9.410001e-05,141.11026,7683.2575609609485,7683.257513862103,9236.5,46.84614,0.47886533
1490002,0.55135804,9.4060015e-05,152.55786,6619.399264648557,6619.399192146957,9844.0,47.355976,0.51200616
1500002,0.5124763,9.402001e-05,154.49518,4337.970387995243,4337.970373976976,5499.5,92.14305,0.6013101
1510000,0.6567659,9.398001e-05,136.31264,7785.008544802666,7785.008536122739,9844.0,47.59523,0.5087987
1520001,0.5926828,9.394002e-05,155.42392,7926.211248517036,7926.211230278015,9844.0,29.69685,0.5365626
1530002,0.6090717,9.390002e-05,148.07747,7467.749308586121,7467.749298676848,9844.0,46.51241,0.5436858
1540000,0.5895324,9.386001e-05,168.09476,None,None,None,27.217377,0.47601527
1550003,0.61806536,9.382001e-05,157.05656,9158.036119699478,9158.036141484976,9507.0,32.02604,0.5346416
1560004,0.5896531,9.378e-05,151.33981,4647.160463929176,4647.160450067371,5380.0,75.90011,0.5783683
1570004,0.54730314,9.3740004e-05,141.88109,6694.238708168268,6694.238709554076,7341.666666666667,66.329056,0.5496457
1580002,0.58549523,9.37e-05,153.50308,9001.356366634369,9001.35639487952,9844.0,42.755207,0.56411105
1590004,0.61741525,9.3660004e-05,164.12842,None,None,None,27.69331,0.6158972
1600001,0.5890231,9.362001e-05,164.63269,9060.14198371768,9060.141957089305,9844.0,35.22386,0.57159317
1610000,0.5852367,9.358001e-05,161.39944,None,None,None,33.851166,0.5537093
1620000,0.6587302,9.354002e-05,152.20786,8186.510376016299,8186.5103934034705,9693.333333333334,90.14449,0.52476627
1630002,0.6018953,9.350001e-05,161.29843,5774.060406640172,5774.060411691666,6578.5,79.2937,0.53173655
1640003,0.5904726,9.346001e-05,176.1959,None,None,None,18.965164,0.4890688
1650002,0.61370873,9.3420014e-05,178.63765,None,None,None,19.61004,0.53455335
