Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
270000,0.7216027,0.00097350014,3.1560154,0.13023122,0.01005098,1996.8308560867779,1996.83085441455,1205.295081967213
280000,0.71912503,0.00097250013,3.1608672,0.14259818,0.008944267,1995.2534518900925,1995.2534503230477,1201.69918699187
290000,0.7223161,0.0009715001,3.1676664,0.1304111,0.008460155,2011.0228405714035,2011.0228414785117,1206.0583333333334
300000,0.69976896,0.0009705001,3.2341201,0.23113526,0.008822437,2007.064181251872,2007.0641828139103,1186.4112903225807
310000,0.6631651,0.00096950005,2.9252586,0.19972019,0.008843465,1869.030958167285,1869.0309598719286,1212.3388429752067
320000,0.6643071,0.00096850016,3.0906343,0.35588375,0.009437894,1913.5105843665078,1913.510582437506,1171.75
330000,0.66490686,0.0009675001,3.1515963,0.46798703,0.010838441,1881.8059242349118,1881.805925562745,1143.8125
340000,0.65593946,0.0009665001,3.2894125,0.16787623,0.008237001,1947.7561020407566,1947.7561012311269,1123.5891472868218
350000,0.6619467,0.0009655001,3.1923628,0.29386947,0.008551175,1941.7323351861867,1941.732338772532,1149.1068702290077
360000,0.6608024,0.00096450007,3.199931,0.37104058,0.010086428,1924.337260235013,1924.337257378214,1141.8031496062993
370000,0.61954105,0.0009635,3.2641945,0.23410545,0.009060819,1882.1231685859316,1882.1231678059214,1091.8235294117646
380000,0.58809197,0.0009625,2.433988,0.21762976,0.008097324,1836.423360738261,1836.4233614150435,1064.6120689655172
390000,0.60502166,0.00096150005,2.0666254,0.14616609,0.009188026,1892.5427259780743,1892.5427232315694,1095.6944444444443
400000,0.5871111,0.00096050004,1.9786438,0.42401332,0.007818501,1817.21988415943,1817.219883333962,1106.5377358490566
410000,0.5521248,0.00095950015,2.0201266,0.38337857,0.008692935,1798.6642657649627,1798.6642640473647,1079.2752293577983
420000,0.55473167,0.0009585001,1.9113234,0.55107003,0.009814803,1727.226970487291,1727.2269669903274,1086.6
430000,0.5610377,0.0009575001,2.1162596,0.15705565,0.008589889,1856.9018913475243,1856.9018930578018,1072.945945945946
440000,0.5592275,0.0009565001,2.1233718,0.11774044,0.009782912,1841.9645261458302,1841.9645264672304,1064.5688073394494
450000,0.5478382,0.0009555001,2.13937,0.11061402,0.008368402,1872.403305850647,1872.403301982347,1077.101851851852
460000,0.5491202,0.0009545001,1.9837992,0.17318231,0.0077928836,1827.2556519850536,1827.2556495641668,1110.2407407407406
470000,0.5232402,0.0009535001,1.8207003,0.14969422,0.008636593,1764.5157958376408,1764.515798829347,1137.96
480000,0.4982237,0.00095250004,1.5357698,0.8091241,0.0106771095,1525.8430453283447,1525.8430437394552,1116.6857142857143
490000,0.48186222,0.00095150014,2.0453749,0.10567806,0.009533053,1804.6542654232546,1804.6542656022038,1074.8545454545454
500000,0.48044512,0.0009505001,1.8954377,0.08283657,0.007816301,1775.4048529579527,1775.404852461815,1106.3142857142857
510000,0.46400523,0.00094950007,1.9633846,0.08347078,0.009075834,1786.7698065721327,1786.769805767056,1087.25
520000,0.4377033,0.00094850006,1.901197,0.08495973,0.010846875,1740.1040177843788,1740.1040163109926,1077.6545454545455
530000,0.4458921,0.00094750006,1.8833667,0.06585076,0.009925031,1739.544532324666,1739.544533735472,1090.5700934579438
540000,0.44055572,0.0009465001,1.8880782,0.18238014,0.010966183,1729.9680479710753,1729.9680459541353,1081.2818181818182
550000,0.42786738,0.0009455,1.6992772,0.29778436,0.009269263,1624.0799132529821,1624.079914853882,1093.803738317757
560000,0.41681787,0.00094450015,1.5345026,0.77437186,0.008424873,1504.6359442238297,1504.6359426196266,1075.982142857143
570000,0.42242423,0.00094350014,1.7916622,0.062106844,0.01064495,1687.8467832295983,1687.8467800115684,1086.898148148148
580000,0.43205816,0.00094250013,1.8712316,0.08434205,0.008665505,1726.8606398365714,1726.8606404137881,1082.6
590000,0.40969786,0.00094150007,1.9392644,0.072557665,0.010231812,1724.785516360673,1724.7855138764462,1057.3363636363636
600000,0.3984387,0.00094050006,1.9817604,0.09041779,0.009636219,1742.5912143663927,1742.591212526709,1051.5181818181818
610000,0.37099835,0.00093950017,2.086472,0.10387448,0.009679158,1747.4254296674567,1747.4254302417196,1020.0847457627119
620000,0.36019436,0.0009385001,2.0997243,0.121226504,0.009026397,1732.888842509504,1732.8888410075583,1017.1666666666666
630000,0.35916534,0.0009375001,1.9836435,0.30489954,0.0094397105,1680.0047925433207,1680.0047892095072,1015.3534482758621
640000,0.3546786,0.0009365001,1.8179553,0.77836895,0.0077041048,1503.7751812591391,1503.775181920031,1001.7881355932203
650000,0.34616113,0.0009355,2.0804985,0.25289613,0.009289057,1672.9391070742251,1672.9391100324135,978.0
660000,0.34733006,0.00093450013,2.076252,0.19596425,0.010000212,1666.582738673687,1666.5827409814422,972.8416666666667
670000,0.36518368,0.0009335001,2.100137,0.12953347,0.009720005,1693.1692728044607,1693.1692724043205,980.6806722689075
680000,0.385065,0.00093250006,2.0722806,0.2737049,0.009149054,1672.5677399477684,1672.5677399600218,978.305785123967
690000,0.3552638,0.00093150005,1.9897113,0.40701428,0.009667761,1613.6240623315175,1613.6240618835513,977.0666666666667
700000,0.34278148,0.0009305001,2.152289,0.13283847,0.009842836,1713.5861784954866,1713.5861780961975,976.3833333333333
710000,0.33197612,0.0009295001,1.995621,0.41063443,0.0115459245,1615.2602529368125,1615.2602543123373,975.1157024793389
720000,0.34286892,0.0009285002,2.1308405,0.15930708,0.009200502,1687.7710852565765,1687.7710848881602,952.8
730000,0.34336364,0.00092750014,2.2300272,0.09939996,0.00880681,1689.4578826773552,1689.4578812748434,938.8387096774194
740000,0.33726832,0.0009265001,2.2097063,0.100953385,0.010190915,1690.877377552371,1690.8773784862171,943.1129032258065
750000,0.33711642,0.0009255001,2.2325833,0.063146316,0.008807299,1687.4197357545688,1687.4197364997442,938.2362204724409
760000,0.32059842,0.0009245001,1.2002963,0.05319204,0.009730418,1700.8151965291877,1700.8151976574409,922.3473684210526
770000,0.32465148,0.00092350005,-0.13059472,0.048699066,0.009730027,1697.7148253507912,1697.7148276395164,913.984375
780000,0.33612773,0.00092250004,-0.4530308,0.03925073,0.009664814,1708.131829102834,1708.1318281600088,916.3333333333334
790000,0.32935184,0.0009215001,-0.6968928,0.052906193,0.010505865,1683.663680861978,1683.663679617877,903.3137254901961
800000,0.33803105,0.0009205001,-0.97653437,0.03428604,0.009200254,1714.2975423449561,1714.2975414251644,916.952380952381
810000,0.34139994,0.0009195001,-0.978346,0.028406337,0.008096574,1712.8724218947548,1712.8724228124179,925.3571428571429
820000,0.34545517,0.00091850007,-0.96857846,0.039665356,0.0084422445,1724.1936458321504,1724.193642598945,918.3488372093024
830000,0.36070812,0.0009175001,-0.97109866,0.040148277,0.007912385,1751.055834723682,1751.0558318123221,935.780487804878
840000,0.36623976,0.0009165001,-0.9986867,0.04143536,0.008390723,1760.3627287092663,1760.3627295337972,952.547619047619
850000,0.37200114,0.00091550004,-0.96852684,0.029714866,0.008106749,1752.4142039049239,1752.4142037505906,932.6428571428571
860000,0.38418248,0.00091450004,-0.9906846,0.037026513,0.009263912,1773.4262326984872,1773.4262335282274,952.9024390243902
870000,0.37595835,0.00091350015,-0.9812468,0.03628538,0.008288568,1746.0508841673534,1746.0508827662893,938.0714285714286
880000,0.37919527,0.0009125001,-1.0428753,0.037190888,0.0078120953,1752.922509719164,1752.9225113464472,928.2307692307693
890000,0.39060724,0.0009115002,-1.4193616,0.03118747,0.0076260786,1780.7402242960468,1780.740223200571,960.9354838709677
900000,0.38552564,0.0009105001,-1.4085252,0.028679011,0.007816432,1729.4782773703337,1729.4782806036528,933.71875
910000,0.41079354,0.0009095001,-1.390038,0.019685145,0.007974817,1757.9106800325455,1757.9106815036746,935.0322580645161
920000,0.4190396,0.0009085001,-1.3950212,0.009807041,0.008926698,1780.7015254497528,1780.7015247824602,937.9375
930000,0.4062395,0.0009075001,-1.3813171,0.03722079,0.007565812,1764.9961597996373,1764.9961640563222,929.8387096774194
940000,0.39638823,0.00090650003,-1.3826636,0.018541919,0.008151327,1741.1315132081509,1741.1315150381997,917.875
950000,0.41973194,0.0009055,-1.3911731,0.024916092,0.0078119417,1734.1441697478294,1734.1441703049932,915.46875
960000,0.439716,0.0009045001,-1.3871711,0.029331667,0.008027877,1745.619816944003,1745.6198121302295,915.53125
970000,0.44652393,0.00090350007,-1.3885919,0.024107244,0.007066067,1761.540382117033,1761.5403858544305,922.34375
980000,0.43668553,0.00090250006,-1.3886421,0.059396762,0.007202713,1710.4524223732226,1710.4524174926407,895.8484848484849
990000,0.4515624,0.00090150005,-1.377679,0.027839305,0.008319847,1747.5559434443712,1747.5559432855807,915.6875
1000000,0.4711222,0.0009005001,-1.3768022,0.020131517,0.008211949,1786.923837784798,1786.9238354984311,937.8709677419355
1010000,0.49948883,0.0008995001,-1.38905,0.032161172,0.007342009,1831.1596436962004,1831.1596449589538,962.1935483870968
1020000,0.5117475,0.0008985001,-1.3780617,0.034029633,0.0075999466,1867.0110733509064,1867.0110707153876,981.8
1030000,0.52264094,0.0008975,-1.3865204,0.024722796,0.0071251653,1860.8005647977193,1860.800567384561,987.0666666666667
1040000,0.5415277,0.00089650013,-1.4066392,0.027072482,0.007877678,1896.5943874983952,1896.594385641659,1006.7931034482758
1050000,0.5526019,0.00089550007,-1.6424124,0.026674936,0.0076596513,1918.5192967761648,1918.519297784025,1024.3636363636363
1060000,0.5587616,0.0008945002,-1.8393899,0.022837216,0.0073783384,1936.0513314824354,1936.0513294554855,1052.6315789473683
1070000,0.55676883,0.0008935001,-1.8334706,0.020344159,0.0069576898,1940.5093390314203,1940.5093404980082,1065.7368421052631
1080000,0.54705155,0.0008925001,-1.8371776,0.016208852,0.0071334434,1947.522196398841,1947.5222067981958,1070.2777777777778
1090000,0.53504366,0.0008915001,-1.8309602,0.012010258,0.0076271794,1950.9134680695004,1950.9134676915903,1055.388888888889
1100000,0.5640839,0.0008905001,-1.8380281,0.019300416,0.006843526,1969.995484550794,1969.9954860396683,1081.0555555555557
1110000,0.58030814,0.0008895,-1.8342471,0.027448695,0.006955656,1977.9106160402298,1977.910620039122,1096.1666666666667
1120000,0.6123721,0.0008885,-1.85145,0.019675536,0.0069245887,1997.3436069687207,1997.3435993107657,1130.111111111111
1130000,0.6043919,0.0008875001,-1.837568,0.018895108,0.008050941,2021.7802227244658,2021.7802191429278,1118.6470588235295
1140000,0.6185998,0.00088650006,-1.8382455,0.01510972,0.0071541625,2060.9964778283065,2060.9964784795748,1135.5294117647059
1150000,0.64120746,0.00088550005,-1.8514364,0.023638519,0.007358211,2086.28599254524,2086.2859909017297,1169.3529411764705
1160000,0.6512625,0.00088450004,-1.8421586,0.018624716,0.007307617,2081.618738567128,2081.618743097519,1149.4705882352941
1170000,0.6712851,0.0008835001,-1.8438994,0.022229172,0.0064640986,2113.298823216382,2113.298816798803,1171.9411764705883
1180000,0.67053545,0.0008825001,-1.9060451,0.045698587,0.0071942694,1862.1524627769695,1862.1524713815136,1174.3529411764705
1190000,0.68343157,0.00088150013,-2.0913298,0.1596946,0.0074611586,1012.6565070643145,1012.6565055141555,1135.7058823529412
1200000,0.6925417,0.0008805001,-1.9572339,0.0893222,0.0074880226,1502.1820694138023,1502.1820714911994,1126.1764705882354
1210000,0.6986467,0.0008795001,-2.0533612,0.1364255,0.00729772,1172.5532277358902,1172.5532253463234,1126.8333333333333
1220000,0.7052432,0.00087850005,-2.0806587,0.15313442,0.0066685895,1012.3204098277622,1012.3204084423681,1099.611111111111
1230000,0.70469517,0.00087750016,-2.1140683,0.15716565,0.00756859,862.7146337429682,862.7146265610224,1085.2222222222222
1240000,0.73116773,0.00087650015,-2.2892704,0.161373,0.0070337215,49.216844741035914,49.21684664794628,1131.235294117647
1250000,0.76466936,0.0008755001,-2.1225727,0.1575134,0.006771802,750.4623440293705,750.462347393965,1128.235294117647
1260000,0.79775673,0.0008745001,-1.9111906,0.088474214,0.0069141835,1718.7692561017143,1718.7692577917542,1139.4444444444443
