Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
800001,0.6326184,9.6820004e-05,75.306,591.8798891544342,591.8798866624634,559.2,144.83267,0.582561
810001,0.62184733,9.6780015e-05,75.5353,551.6637188126059,551.6637233136331,509.94117647058823,128.02202,0.5593046
820001,0.5691057,9.674001e-05,76.74089,444.7136024501589,444.713602365305,455.5,209.89389,0.52533686
830003,0.6166692,9.670001e-05,79.45645,630.7981159266303,630.7981120247175,533.7058823529412,187.56967,0.5493332
840000,0.61691725,9.666001e-05,83.776665,634.7462700009346,634.7462737872265,527.3125,185.85745,0.53501165
850003,0.6205878,9.662001e-05,84.841354,634.9366470575333,634.9366435846314,542.0625,162.07808,0.5251657
860002,0.5947744,9.6580006e-05,92.39324,635.605314391,635.6053173643138,541.6428571428571,152.94476,0.5701878
870000,0.5746048,9.654002e-05,89.459564,597.8306867811415,597.8306819266743,545.7222222222222,132.4163,0.57888925
880002,0.5904447,9.6500014e-05,85.63563,599.7481029374259,599.7481008251863,559.3571428571429,149.26743,0.57878745
890001,0.5954778,9.646001e-05,89.806915,608.3528675287962,608.3528699544258,550.8125,141.25769,0.56880295
900003,0.56067795,9.6420015e-05,88.49332,520.6264555901289,520.626460895408,540.3125,148.09059,0.5336635
910000,0.549286,9.638001e-05,92.43367,556.1780700087547,556.1780720523426,544.8571428571429,119.98612,0.53875077
920004,0.55196,9.634e-05,85.36415,594.9756897389889,594.9756890526041,559.0625,95.77159,0.5711969
930001,0.5486448,9.6300006e-05,84.1691,569.9196454286575,569.9196473686025,580.375,118.31526,0.5565432
940001,0.61795163,9.626002e-05,83.14364,607.5092818396432,607.5092792021377,584.4285714285714,120.369095,0.60749644
950002,0.58322483,9.6220014e-05,86.41752,628.2603135267893,628.2603159144521,568.8666666666667,121.05349,0.6075463
960001,0.5483336,9.618001e-05,99.663025,-1107.416361168027,-1107.416365930345,2390.25,109.64707,0.53290683
970002,0.5409906,9.614001e-05,104.27737,623.7119547058554,623.7119549236753,590.5882352941177,119.90086,0.5099753
980000,0.49571204,9.610001e-05,112.51617,521.9665462907992,521.9665483620606,514.8421052631579,146.10495,0.5079184
990003,0.500523,9.606001e-05,118.347694,541.5672330291648,541.567232515859,503.3157894736842,235.06245,0.552691
1000003,0.5002324,9.6020005e-05,111.61804,561.6762478912578,561.6762490585885,568.1176470588235,161.86356,0.46278515
1010000,0.5307441,9.5980016e-05,108.4634,576.8507530940207,576.8507570755717,516.8421052631579,207.53183,0.5257951
1020003,0.5980592,9.594001e-05,111.11456,787.6784001747767,787.6783993020654,604.5333333333333,183.45444,0.51607823
1030003,0.59924227,9.59e-05,113.53291,813.8383675664663,813.8383675715886,601.625,121.83183,0.5318391
1040003,0.60611165,9.586001e-05,113.733795,804.2517352805418,804.2517349128337,609.4705882352941,121.0165,0.49207383
1050000,0.5725592,9.582001e-05,115.975845,682.4018794368295,682.4018821429243,560.6470588235294,141.9691,0.511989
1060000,0.57930195,9.578002e-05,109.387535,734.2273263865047,734.2273283840882,607.0555555555555,135.87894,0.5383979
1070001,0.57385504,9.574002e-05,110.82164,780.6030519860132,780.6030521339604,640.0714285714286,128.86325,0.5478609
1080002,0.5509403,9.5700016e-05,121.823715,822.0570801943541,822.0570809836499,627.625,148.58438,0.5922975
1090001,0.517636,9.566001e-05,128.21216,744.3016782648423,744.3016816815909,574.2941176470588,143.77434,0.53087485
1100001,0.5328234,9.562001e-05,128.54332,727.3437001109123,727.3436911744066,591.8125,156.5212,0.53037554
1110001,0.5572198,9.558001e-05,126.918304,683.8384729553671,683.8384778968551,575.4117647058823,167.76958,0.57816947
1120002,0.5730485,9.554002e-05,126.20605,800.872888892889,800.8728873347864,621.5625,123.50745,0.49622127
1130000,0.5430532,9.550002e-05,127.7103,805.0733188092709,805.073322083801,627.5,158.6993,0.53792965
1140003,0.521351,9.546001e-05,136.21469,746.8229674696922,746.8229669281282,584.625,150.9551,0.5686453
1150002,0.5275063,9.542001e-05,136.25034,806.3426184952259,806.3426197436638,603.1875,136.9334,0.57632387
